Category,Path,Purpose,Approximate Size,Dependencies,Disposition
storage,/docker/obsidian-vault,Canonical Obsidian knowledge vault and source of truth.,55M,"docker mount; Obsidian sync; Hermes capture path",KEEP
storage,/opt/llamaindex-bakeoff/index,Persisted semantic retrieval index used by the legacy LlamaIndex API.,170M,"/docker/obsidian-vault; /opt/llamaindex-bakeoff/app.py; Python environment",REPLACE
storage,/opt/second-brain,Legacy Hermes runtime root containing scripts playbooks and operational state.,250M (estimated),"systemd services; docker runtime; Python scripts",REPLACE
storage,/opt/second-brain/scripts,Legacy deterministic automation and enrichment script collection.,25M (estimated),"/opt/second-brain; Python environment; /docker/obsidian-vault",ARCHIVE
storage,/opt/hermes-trading,Legacy trading adjunct repository referenced from Telegram workflows.,50M (estimated),"Python environment; Telegram invocation",ARCHIVE
runtime,/etc/systemd/system/hermes-telegram.service,Hermes Telegram bot service entrypoint.,4K,"/root/hermes-telegram.py; docker.service; /root/.openrouter.env",REPLACE
runtime,docker://hermes-agent-mctr-hermes-agent-1,Primary Hermes agent container currently evidenced as running.,9.84G image / 3.04G content,"ghcr.io/hostinger/hvps-hermes-agent:latest; /opt/second-brain; /docker/obsidian-vault",REPLACE
runtime,docker://hermes-agent-lp1i-hermes-agent-1,Historical exited Hermes container retained on the host.,9.84G image / 3.04G content,ghcr.io/hostinger/hvps-hermes-agent:latest,ARCHIVE
runtime,tcp://127.0.0.1:8788,Legacy LlamaIndex API listener used for retrieval and evidence packaging.,N/A,"/opt/llamaindex-bakeoff/app.py; /opt/llamaindex-bakeoff/index",REPLACE
runtime,tcp://localhost:4865,Alfred hostname ingress target from Cloudflare configuration.,N/A,"/etc/cloudflared/config.yml; target local web service",UNKNOWN
runtime,tcp://127.0.0.1:4880,v2 hostname ingress target from Cloudflare configuration.,N/A,"/etc/cloudflared/config.yml; target local web service",UNKNOWN
configuration,/etc/systemd/system/hermes-telegram.service.d/20-authoritative-vault.conf,Service override binding Hermes Telegram to the authoritative vault path.,4K,"/etc/systemd/system/hermes-telegram.service; /docker/obsidian-vault",REPLACE
configuration,/etc/systemd/system/hermes-telegram.service.d/30-openrouter-env.conf,Service override binding model API environment file.,4K,"/etc/systemd/system/hermes-telegram.service; /root/.openrouter.env",REPLACE
configuration,/etc/cloudflared/config.yml,Ingress routing for Alfred v2 and API endpoints.,4K,"localhost:4865; 127.0.0.1:4880; 127.0.0.1:8788",ARCHIVE
configuration,/root/.openrouter.env,Legacy model API secret environment file.,4K,"OpenRouter account; hermes-telegram.service",UNKNOWN
configuration,/etc/systemd/system,Host-level service catalogue for Telegram and related runtime components.,Directory inventory,"systemd; service unit files; drop-in overrides",ARCHIVE
data,/docker/obsidian-vault/07 Executive Briefings,Generated executive briefings retained inside the canonical vault.,10M (estimated),"/docker/obsidian-vault; daily briefing jobs",KEEP
data,/docker/obsidian-vault/09 Governance,Governance intelligence board packs watchlists and decision reports.,20M (estimated),"/docker/obsidian-vault; /opt/second-brain/scripts",KEEP
data,/opt/second-brain/action-queue,Queued human or agent actions awaiting executor processing.,5M (estimated),"/opt/second-brain; titan executor",KEEP
data,/opt/second-brain/playbooks/titan_actions.json,Legacy Titan action playbook referenced by executor workflows.,1M (estimated),"/opt/second-brain; titan executor",ARCHIVE
data,/root/hermes-telegram.py,Legacy Telegram orchestration script capturing notes into the vault and invoking agent scripts.,40K,"/opt/second-brain/scripts; /docker/obsidian-vault; /root/.openrouter.env",ARCHIVE
data,/opt/llamaindex-bakeoff/app.py,Legacy retrieval API application exposing semantic evidence search.,16K,"/opt/llamaindex-bakeoff/index; FastAPI; Uvicorn",REPLACE
